상품코드,상품명,규격,단가,구분,비고,파일생성코드,서브매뉴,상품사진명
1001,오징어(??),箱子(1kgX10p),0,비과세,,,주재료,
1002,생새우(?),箱子(250gX10p),0,비과세,,,주재료,
1003,생칵테일(中?),箱子(1.8kgX6p),0,비과세,,,주재료,
1004,안심(里脊),箱子(2kgX10p),0,비과세,,,주재료,
1005,유슬(肉?),箱子(5kgX2p),0,비과세,,,주재료,
1006,다짐육(?肉),箱子(5kgX2p),0,비과세,,,주재료,
1007,지방(脂肪),箱子(5kgX2p),0,비과세,,,주재료,
1008,빨간소스(?色 ?味汁),箱子(2kgX9p),0,비과세,,,주재료,
1009,하얀소스(白色 ?味汁),箱子(2kgX9p),0,비과세,,,주재료,
1010,짜장소스(炸? ?味汁),箱子(2kgX9p),0,비과세,,,주재료,
1011,만두(煎?子),箱子(1kgX8p),0,비과세,,,주재료,
1012,도시락,箱子(400ea),0,비과세,,,주재료,
1013,비닐케리어,箱子(90ea),0,비과세,,,주재료,
1014,물티슈,箱子(1000ea),0,비과세,,,주재료,
,,,,,,,,
,,,,,,,,
