상품코드,상품명,규격,단가,구분,비고,파일생성코드,서브매뉴,상품사진명
1001,오징어,박스(1kgX10p),66000,비과세,,,주재료,
1002,생새우,박스(250gX10p),43000,비과세,,,주재료,
1003,생칵테일,박스(1.8kgX6p),255000,비과세,,,주재료,
1004,안심,박스(2kgX10p),0,비과세,,,주재료,
1005,유슬,박스(5kgX2p),53000,비과세,,,주재료,
1006,다짐육,박스(5kgX2p),53000,비과세,,,주재료,
1007,지방,박스(5kgX2p),12000,비과세,,,주재료,
1008,빨간소스,박스(2kgX9p),0,비과세,,,주재료,
1009,하얀소스,박스(2kgX9p),0,비과세,,,주재료,
1010,짜장소스,박스(2kgX9p),0,비과세,,,주재료,
1011,만두,박스(1kgX8p),0,비과세,,,주재료,
1012,도시락,박스(400ea),0,비과세,,,주재료,
1013,비닐케리어,팩(90ea),0,비과세,,,주재료,
1014,물티슈,팩(1000ea),0,비과세,,,주재료,
2001,자숙새우,250g,4300,과세,,,주재료,
